Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017
"06037601502","Census Tract 6015.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"601502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6015.02",,,,908,16,92,5,6,27,145,14,26,41,58,107,117,213,12,21,8,1.76,10.13,0.55,0.66,2.97,15.97,1.54,2.86,4.52,6.39,11.78,12.89,23.46,1.32,2.31,0.88
"06037601600","Census Tract 6016, Los Angeles County, California","ca","140","00",,,,"06","037",,,"601600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6016",,,,1299,32,0,43,66,197,71,0,183,73,28,129,121,59,88,74,135,2.46,0,3.31,5.08,15.17,5.47,0,14.09,5.62,2.16,9.93,9.31,4.54,6.77,5.7,10.39
"06037601700","Census Tract 6017, Los Angeles County, California","ca","140","00",,,,"06","037",,,"601700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6017",,,,1343,108,26,28,79,39,156,111,97,35,42,219,118,49,136,80,20,8.04,1.94,2.08,5.88,2.9,11.62,8.27,7.22,2.61,3.13,16.31,8.79,3.65,10.13,5.96,1.49
"06037601801","Census Tract 6018.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"601801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6018.01",,,,854,49,8,23,134,46,42,13,18,36,137,68,17,90,53,86,34,5.74,0.94,2.69,15.69,5.39,4.92,1.52,2.11,4.22,16.04,7.96,1.99,10.54,6.21,10.07,3.98
"06037601802","Census Tract 6018.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"601802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6018.02",,,,966,65,27,50,15,21,22,121,37,0,37,112,145,112,106,56,40,6.73,2.8,5.18,1.55,2.17,2.28,12.53,3.83,0,3.83,11.59,15.01,11.59,10.97,5.8,4.14
"06037601900","Census Tract 6019, Los Angeles County, California","ca","140","00",,,,"06","037",,,"601900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6019",,,,1341,67,102,26,82,14,0,62,99,99,131,165,234,147,62,15,36,5,7.61,1.94,6.11,1.04,0,4.62,7.38,7.38,9.77,12.3,17.45,10.96,4.62,1.12,2.68
"06037602002","Census Tract 6020.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"602002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6020.02",,,,819,11,24,31,22,29,63,57,10,32,27,120,195,78,38,33,49,1.34,2.93,3.79,2.69,3.54,7.69,6.96,1.22,3.91,3.3,14.65,23.81,9.52,4.64,4.03,5.98
"06037602003","Census Tract 6020.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"602003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6020.03",,,,1234,54,25,7,49,71,41,130,35,56,162,166,167,125,11,98,37,4.38,2.03,0.57,3.97,5.75,3.32,10.53,2.84,4.54,13.13,13.45,13.53,10.13,0.89,7.94,3
"06037602103","Census Tract 6021.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"602103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6021.03",,,,1738,213,224,78,146,137,47,45,17,36,123,198,228,86,72,64,24,12.26,12.89,4.49,8.4,7.88,2.7,2.59,0.98,2.07,7.08,11.39,13.12,4.95,4.14,3.68,1.38
"06037602104","Census Tract 6021.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"602104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6021.04",,,,1790,112,25,19,56,109,92,34,87,50,158,218,232,273,114,48,163,6.26,1.4,1.06,3.13,6.09,5.14,1.9,4.86,2.79,8.83,12.18,12.96,15.25,6.37,2.68,9.11
"06037602105","Census Tract 6021.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"602105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6021.05",,,,1374,97,115,20,33,182,61,23,34,45,126,190,106,121,125,56,40,7.06,8.37,1.46,2.4,13.25,4.44,1.67,2.47,3.28,9.17,13.83,7.71,8.81,9.1,4.08,2.91
"06037602106","Census Tract 6021.06, Los Angeles County, California","ca","140","00",,,,"06","037",,,"602106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6021.06",,,,2274,169,38,39,47,143,62,81,71,15,159,286,560,273,188,75,68,7.43,1.67,1.72,2.07,6.29,2.73,3.56,3.12,0.66,6.99,12.58,24.63,12.01,8.27,3.3,2.99
"06037602201","Census Tract 6022.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"602201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6022.01",,,,1639,79,23,32,0,41,68,16,0,21,98,15,132,249,290,230,345,4.82,1.4,1.95,0,2.5,4.15,0.98,0,1.28,5.98,0.92,8.05,15.19,17.69,14.03,21.05
"06037602202","Census Tract 6022.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"602202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6022.02",,,,990,26,12,27,0,22,13,0,14,0,106,110,205,191,85,81,98,2.63,1.21,2.73,0,2.22,1.31,0,1.41,0,10.71,11.11,20.71,19.29,8.59,8.18,9.9
"06037602301","Census Tract 6023.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"602301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6023.01",,,,1931,7,66,17,25,35,59,19,57,61,117,115,187,178,245,163,580,0.36,3.42,0.88,1.29,1.81,3.06,0.98,2.95,3.16,6.06,5.96,9.68,9.22,12.69,8.44,30.04
"06037602302","Census Tract 6023.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"602302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6023.02",,,,1807,8,51,15,9,0,41,19,25,15,6,54,171,153,192,356,692,0.44,2.82,0.83,0.5,0,2.27,1.05,1.38,0.83,0.33,2.99,9.46,8.47,10.63,19.7,38.3
"06037602402","Census Tract 6024.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"602402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6024.02",,,,1963,74,52,0,10,38,37,20,15,0,117,126,349,332,119,202,472,3.77,2.65,0,0.51,1.94,1.88,1.02,0.76,0,5.96,6.42,17.78,16.91,6.06,10.29,24.04
"06037602403","Census Tract 6024.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"602403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6024.03",,,,1498,60,74,10,48,46,109,40,120,92,85,101,295,130,194,73,21,4.01,4.94,0.67,3.2,3.07,7.28,2.67,8.01,6.14,5.67,6.74,19.69,8.68,12.95,4.87,1.4
"06037602404","Census Tract 6024.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"602404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6024.04",,,,1888,83,89,18,41,67,89,236,95,68,129,219,384,159,58,94,59,4.4,4.71,0.95,2.17,3.55,4.71,12.5,5.03,3.6,6.83,11.6,20.34,8.42,3.07,4.98,3.12
"06037602504","Census Tract 6025.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"602504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6025.04",,,,1818,51,53,59,92,43,139,136,105,67,161,235,239,145,169,124,0,2.81,2.92,3.25,5.06,2.37,7.65,7.48,5.78,3.69,8.86,12.93,13.15,7.98,9.3,6.82,0
